delta,tetha,alpha,beta,gamma,class
3.5355948991912483,0.9321227508838061,0.44324874484608084,0.2005523990884708,0.12043607779781058,1
3.4739419603723003,0.8462797432787665,0.42947765430431895,0.19244631395292935,0.09476811068930541,1
3.8634705364197712,0.8285968373249801,0.4323109934425678,0.19463794040022553,0.10336123321759776,1
3.488462951980233,0.9334522717613145,0.461541206522039,0.19453996349181418,0.09900089723540019,1
3.7483103264021054,0.7463944867627292,0.39928254736254915,0.17619735593846855,0.0892788389723577,1
3.523218841304292,0.8345574990472859,0.4150323298614641,0.1860288657134984,0.09396375952625531,1
3.4962278923826156,0.8047774139275161,0.44478679311695246,0.1930279449009378,0.09479008819008054,1
3.220776449123806,0.8806958678872574,0.43741474759893123,0.1753334626983213,0.09043448890898224,1
3.522336663480927,0.8982872853795852,0.4285103452877134,0.1881490760465266,0.0918349358851003,1
3.4699377315862874,0.9783709205127912,0.4586204510143343,0.20221480714399714,0.09982168627513552,1
3.5438389367604395,0.9401307809092645,0.4644763557546856,0.20167289650751957,0.10101782088191158,1
3.3988397843194633,0.7584278364030166,0.41039218553485035,0.18647865386116974,0.09506487207778123,1
2.786435523762112,0.6989115530788013,0.3512526356370528,0.16624875931136734,0.07741054335487503,1
2.768244079899377,0.7037908806396287,0.3522243034076708,0.16083358141009904,0.07706361599881578,1
2.5907918013421547,0.6546049963610773,0.3386658469915454,0.16035864559907265,0.07694468912718082,1
3.454525605814343,0.7758824841252547,0.39747578664725214,0.18750448976107062,0.09634372143667133,1
2.759464110557861,0.6914603187862967,0.33569747179390674,0.1599126717303619,0.07611114740402203,1
2.729816337077871,0.7539331020779774,0.33826160741579464,0.16578643556547593,0.07666358321791625,1
2.7270235274688344,0.6951203551054569,0.34827864675173836,0.14745674851999144,0.07589817413109871,1
3.4229703327860324,0.7457498920890218,0.3919951992243053,0.17945234856299105,0.09247340273982951,1
2.7391711468822546,0.7553090228381988,0.3393597342320845,0.16834714519905206,0.07965786050339901,1
2.7611582865237896,0.6993752522494883,0.3431293954737344,0.157857948204897,0.07630699668267772,1
3.4855653246114686,0.727431607784117,0.38354591658522424,0.17900344380767608,0.09308660735072119,1
3.490375463517934,0.7126757285738998,0.3946470813780185,0.18353436421946662,0.09520686570882872,1
3.4094026561784045,0.7723103872748864,0.4196035546872792,0.19052645887488268,0.09750280879480147,1
3.409683440314879,0.7671111083460593,0.41898450510709234,0.1890235197040825,0.09472335504539722,1
2.7075117059435687,0.6308468964480701,0.3992584591083204,0.156087850770477,0.08058933216807362,1
3.4027889861256644,0.7639808445463929,0.4143049157578618,0.18729309667758512,0.09273867631520412,1
2.7131294706692244,0.6101118194084101,0.37517250037872263,0.14293492909981606,0.07622909899165413,1
3.4293943287875623,0.778822684856133,0.40646525817381185,0.1880916478017719,0.09382392450321983,1
3.4697079100391144,0.7079068849480799,0.4086322878551063,0.1838740860885924,0.09399315812689937,1
3.396416967402117,0.7650163318310954,0.39493837628378714,0.1803582873446296,0.09095009345662403,1
1.0442926282561749,0.19034510920580638,0.09459573562093947,0.048554927862831734,0.02523163135420807,1
1.6866205186585879,0.35714580866829715,0.14539969673804048,0.07627235692894759,0.06519506942797859,1
1.2347564316195518,0.2756281086076569,0.1173280461812118,0.06726549999260785,0.06675656517687141,1
1.621327110575797,0.27791581485892813,0.11173660950851587,0.08554811284098898,0.08615750170224482,1
1.5521511374948482,0.3651664924590946,0.1946466944080753,0.17403490521979298,0.2379935261717282,1
0.9413910970154367,0.2401867369268261,0.11123540813378163,0.06343452643793401,0.04331123768692456,1
1.3495400624785734,0.3378537549179773,0.1434673644635878,0.07861634411306251,0.08093545765118358,1
1.3861551729861197,0.17462909027133866,0.08295103536907004,0.03660505976791366,0.021099487199348708,1
0.727107477823037,0.11392504218260614,0.058138444104821,0.0269459419124758,0.016768184647446706,1
4.744953761679839,0.37842110741713675,0.1737238512979229,0.07696876204156397,0.03813743238454893,1
1.3948161513440762,0.2742921373766149,0.1094230422752321,0.05962491618997073,0.05336568965391496,1
1.1643787475242322,0.2543687731299666,0.11164272001974529,0.06306718909220232,0.04701231615512243,1
1.818553778197487,0.32270845462450704,0.13920825323944142,0.17270890711543202,0.1641654658691931,1
1.2004337043619282,0.2718198763837375,0.12232495202998926,0.06480403472542678,0.054645751337519546,1
1.9788749898646174,0.4022081992305342,0.2020498002220813,0.19490229603804698,0.2953810880792448,1
1.3057465528311805,0.33655445150264085,0.149006555757439,0.08397137929497199,0.09332095222974167,1
1.9308002337097596,0.2800250980763569,0.12546464534130788,0.05755608984460355,0.040584612862476326,1
0.9134275099454912,0.15386413629837933,0.06673514353191591,0.037749252048030715,0.02037936791485217,1
4.249478486692903,0.35607409860002015,0.1507097244196352,0.07138969905190634,0.05491225654796244,1
0.6301729093204439,0.0976755752828732,0.046213933201024314,0.0260963854803112,0.01893865972852286,1
0.9593548160984667,0.16671569831084343,0.08716473626673925,0.04406986340553181,0.03187302821651316,1
0.26626492457951906,0.024845180534864987,0.02629247116723836,0.014601630244578822,0.004670619962267981,1
0.6126519626286199,0.1078784018408134,0.08891384532043903,0.06487191611233857,0.04809391134330153,1
0.24359863396446496,0.0736553295870117,0.07771523610035153,0.05410222418094639,0.03428422818115802,1
0.6318332475221522,0.10063864230404318,0.06737680309399999,0.048108914580175875,0.024113363133259173,1
0.23987137313627954,0.09251826672304043,0.09405935045679775,0.0520630314387558,0.02704933699109434,1
0.17042609813395093,0.04094877707583562,0.04129313904441884,0.02567437127564233,0.01345859165677113,1
0.3671188927397287,0.07863841000478738,0.06763567672950477,0.047479602206738185,0.030677043550760397,1
0.3679710173627157,0.04313023194901443,0.053087908625428976,0.030270859517941975,0.012855427632085956,1
0.14831759512711143,0.03033468880114539,0.038398252013640645,0.022456759821575925,0.007085378965770519,1
0.4183331141381013,0.05991496072793919,0.07098189319777484,0.03785967259476736,0.014767768107807786,1
0.46590675611800086,0.08802997464133101,0.08187266222697777,0.05574518457248884,0.03509537813787079,1
0.3140956167847742,0.08323107382725752,0.07786882160448724,0.055933723573377565,0.04229182494803126,1
0.6993582898352264,0.12609606760761732,0.0800860519384489,0.059387679208703636,0.04106516914139785,1
0.17380270306013812,0.0692878027655226,0.09032919868915262,0.050917172430571055,0.03231434120959364,1
0.453633902561169,0.11624999735765446,0.10140741965231773,0.07852529442732423,0.06989814748737543,1
0.3347237334334142,0.07865482471532345,0.0657580270760785,0.04989701694830193,0.04210012106902438,1
0.4430290771053371,0.04514152117883162,0.03812390633564331,0.02285108649443352,0.011709593398327233,1
0.33930001020611,0.0667137003209031,0.05871666083615282,0.040992262686068856,0.015931610942753964,1
0.634330922731119,0.07049097486032056,0.05841805567389558,0.03214243575979863,0.014503773666678967,1
0.202093824304025,0.037853744993582954,0.04237483939565259,0.02852953573750318,0.011550612226788375,1
0.4228423056734215,0.06563178185224965,0.061571955375291795,0.04628404574070795,0.022259775179923336,1
0.16851499195618264,0.05745102958430952,0.043195712459884364,0.02421504279467464,0.01425178954963222,1
0.3395443107702748,0.08367590485975138,0.06241153004972146,0.06548115011753436,0.08892150141979831,1
0.15641642664088617,0.06788595613113421,0.055471893366919704,0.03941875862257144,0.040990013437003134,1
0.3725040657516433,0.06413410826989671,0.03423340473500652,0.02113903161329063,0.017051559615514775,1
0.22203663374271415,0.09376079628295225,0.06965370415635792,0.036783453111215315,0.022070830628535834,1
0.19049014711163229,0.05989434903308663,0.04649441127473852,0.044586102141259056,0.0581954541511246,1
0.24297796135046923,0.08244100812204583,0.06930545212574013,0.0569488092564839,0.06448302852683119,1
0.14517464994512982,0.05621555013948152,0.04370141576290127,0.02358734682619183,0.013197766905591421,1
0.1020998227855157,0.03373533446674301,0.021753693005333058,0.015509717798388875,0.010821268136001642,1
0.2260502575213659,0.09462471550309709,0.07428059716348633,0.03505069889007965,0.018303198684554333,1
0.18412894524520165,0.06020913605943505,0.044837123375446396,0.026430818122940278,0.024467925250958835,1
0.6758049530375281,0.06821393189865158,0.049060750305753194,0.05471638358469131,0.0708544023211258,1
0.34149309755616253,0.06586488777612574,0.03647647201356658,0.02401156868671158,0.01969934616989917,1
0.1967734120186038,0.08572208211627198,0.06510438484863294,0.03306460255404434,0.02009151508637432,1
0.25485781335010793,0.09357309026284102,0.073473817481302,0.047652563592546694,0.041340535830130254,1
0.22360333526089796,0.09067153561278081,0.07078041592028869,0.03252637719917253,0.02136938221498932,1
1.1557208229001898,0.10534957249736251,0.09120070706544428,0.03920804338879515,0.029056803041030418,1
0.10519434681398036,0.03132356893991288,0.020889602723900818,0.01572555426020428,0.013944056086569342,1
0.2284185694942351,0.09674717456373932,0.07698691789421191,0.03431613543324572,0.018809046566838298,1
0.08651767887232464,0.03235201079385768,0.02362788657174717,0.014044763946838769,0.009322348080084785,1
0.23289577338003115,0.08317985457135418,0.04311175783114595,0.019592287425484845,0.01793447026540516,1
2.4547912287667026,0.5537553392005353,0.38474714164727253,0.13672512000625475,0.05096385226209047,1
0.8161428170097527,0.350272859567784,0.21796760375771873,0.08461317531427764,0.03776019389963262,1
0.38994513639663325,0.21911504120449246,0.12250050550927934,0.054686538125390365,0.04052283063947352,1
1.0302879963495175,0.4276919130171137,0.2606047517553626,0.09239274610822983,0.03711932477055927,1
0.7314694981876719,0.08518218289027685,0.0674143996959224,0.029020927225730516,0.024704251629113286,1
0.7830514566160316,0.4576858052601112,0.25224964459082533,0.09869068226837335,0.05101685225565471,1
0.5418218226888035,0.31978876645306975,0.2019015451873482,0.08579199253250289,0.04837933423167632,1
6.142208631571289,2.36109239102098,1.4725190859048096,0.7473890608629004,0.6631264947633798,1
0.9907852185043406,0.5216144841609011,0.2824790973876883,0.10699090676388012,0.03597532144981653,1
0.5509293519942334,0.3485588181415248,0.35634847872822345,0.07563890197343179,0.030671342364481848,1
0.6728544977927675,0.2721834548412843,0.16705388513576558,0.06315083014026879,0.03381261039021671,1
1.5812034434442803,0.5488203089867254,0.29245273456136656,0.11140445616987114,0.04232878879978834,1
1.142149549312391,0.4540737839408357,0.27530684259065924,0.10050358644386609,0.034705922193479136,1
0.3709568169416627,0.23544516627871515,0.19903988490310612,0.05774304093643989,0.03196633308045866,1
1.6425354940705068,0.2627985179927753,0.1844386713391363,0.08105397264867838,0.033236232485385736,1
0.4951884185113705,0.3123801278156439,0.25268043050096173,0.07860640465959887,0.031201537432208576,1
1.3483979757853717,0.4447014532307333,0.3057485351592719,0.09753757360408377,0.039600187757867014,1
0.9566493308500663,0.6424604552960146,0.30987051583225544,0.10286019276257802,0.0340942937333526,1
0.5761296265659827,0.36765329555456117,0.36689125257607547,0.08841999043236654,0.03291942037425345,1
2.74232899914455,0.5395843377564202,0.28864281642528405,0.12263700555674598,0.05793295093689037,1
1.0324082001279486,0.4831702468746804,0.24965778940644867,0.08830341199947746,0.034697916573816295,1
0.05557950109748633,0.055893685570756996,0.045151701547431644,0.02155748574579986,0.004509462390324252,1
0.35602409430156495,0.1914781016708476,0.1329576998329951,0.06462897610990855,0.03577154530044876,1
0.24786389999173816,0.2273801001104988,0.20726513426188212,0.07957658746755068,0.01649170719929992,1
0.6536053407457831,0.2471976456342147,0.1437154862606616,0.07525529606720059,0.036389273375153124,1
0.3187024615701677,0.21841704255727454,0.16424166875270912,0.07414445011126192,0.026191773432682457,1
0.09204071137344166,0.1041934919116056,0.06552717872648214,0.036652477667835665,0.014712569870249019,1
0.1983777950541083,0.17078229791017013,0.1286026942449326,0.055199420703114094,0.021044596214791423,1
0.11519667279408846,0.13562067212849427,0.11740787001883932,0.05003233553369613,0.009409025204920027,1
0.07380377287068934,0.0805178094572764,0.051142059952276914,0.025802811842167043,0.005414741718354136,1
0.16487700328221033,0.14386652488320306,0.1493069457821204,0.05081520369708639,0.009772562266459391,1
0.3150372481805344,0.2112905244573585,0.15457388976043376,0.06608343979979661,0.022616937360427202,1
0.26595427049114695,0.1582663899555817,0.09945461948818973,0.060689073478050616,0.03327799579938332,1
0.6791542156954451,0.21239569330184369,0.12089771122602266,0.07256985685546746,0.03652679986517964,1
0.1960418473717131,0.22974883355467646,0.1958242251517334,0.07519849221210853,0.016802851204666302,1
0.2909785400153732,0.215063986557878,0.1572827442231287,0.07738329249237717,0.04155641298567901,1
0.15447843621916366,0.15786931267754528,0.12207082445783973,0.04777600984616188,0.012222642939425777,1
0.0847668732983613,0.0732234476540042,0.06736407451464327,0.03014421665406612,0.005721253852024728,1
0.24941055506248758,0.17980433662999123,0.11265984962143627,0.052215918309139686,0.01137527086750042,1
0.14807763425498827,0.14039100617376657,0.15305728382894418,0.04719948490122476,0.00938878368674888,1
0.11654124708827523,0.1593832888194306,0.11360888188594878,0.05659095646755964,0.011676694744821133,1
0.22474345516964783,0.20341850806163098,0.1225244558856111,0.06044600120004629,0.014686337649788769,1
3.365739172366322,0.6609688336001949,0.45088500163599077,0.1791248782776907,0.09321187768435846,1
3.383889849686632,0.7474972501231046,0.4568885556899087,0.18347099809232562,0.09950371090829344,1
3.394999335603448,0.7415524776351818,0.4475915545849674,0.1905435997980035,0.12084337473488367,1
3.392831919095718,0.672732777741252,0.4536282377943279,0.18389779238855447,0.10288469479256339,1
3.405444321678206,0.7553273117835984,0.4614037840425894,0.18658716126753944,0.1037915906271611,1
3.366895109251677,0.7044912362997238,0.42288168894937006,0.17898379304697476,0.0958533910410088,1
3.384960865027158,0.6852904296152693,0.4285420873153435,0.18384614694652243,0.09853153187262355,1
3.368656463666305,0.6869212262804626,0.42920193403684026,0.1837666221262953,0.09614716678860823,1
3.36533234027897,0.7169363192651496,0.42660045892796017,0.17515997116901266,0.0920134708733522,1
3.400364396830705,0.7235020457598833,0.43120926078887617,0.17828710692193933,0.09547114522054646,1
3.396819031400773,0.7172448107398119,0.4279529552173631,0.18440605420660416,0.11405405799276302,1
2.617025739569147,0.5719816906434347,0.3945044269959342,0.14761630607791465,0.07905303511744968,1
3.3981258354823374,0.6944966993838555,0.4252331178741846,0.18203625176751548,0.0950068520861849,1
0.5188488455562911,0.11763616110488288,0.07820359105737676,0.039936202335226156,0.036459250329063664,1
3.4103238280333037,0.7432300054810086,0.45010502424134746,0.18245457887223068,0.09825435053019979,1
3.3932050040125423,0.690905209033742,0.4260628735933352,0.18217203253985953,0.09370969471038582,1
3.379772724065084,0.687008880908903,0.4249614000966594,0.18100365943683552,0.09145542795413691,1
3.3621199642187567,0.7092260783687189,0.42267604218789423,0.17527242405112078,0.09248006312294048,1
3.408736031233181,0.7368354660195284,0.4436929262188557,0.1800860285401272,0.09503264240505213,1
3.360398693099212,0.7418328284272706,0.4517214618121985,0.18163756185128227,0.09775902243308586,1
3.336679669206897,0.659133924009031,0.4506855506295176,0.1797766959170061,0.09580661620247262,1
0.2225144933452701,0.07052855179506165,0.060849619757339095,0.023379926621670887,0.004140384093058495,1
0.09255946883389461,0.025126052930972136,0.02533283322614969,0.013954330101697873,0.0024357817367318194,1
0.2777209920302764,0.07099298537725454,0.04790979496936732,0.020144197768129063,0.003615447068819718,1
0.08130595388251291,0.021794990333056336,0.020160490757043112,0.010586004118894675,0.002157568433035576,1
0.23535631303136384,0.05866333627660014,0.047381627515097065,0.02513103312058515,0.00418304797293163,1
0.10310500005014177,0.027948766175096902,0.026248381823247433,0.014382784829140615,0.0026821355499493005,1
0.11453975724807458,0.03133955595885544,0.030816242969428795,0.016258500164763427,0.0031317275015663483,1
0.27396578331786964,0.0805121367939584,0.06910738392808737,0.026763194121301688,0.004404846647176464,1
0.13587749867701734,0.040340918204898144,0.03510442115859721,0.01673279329474379,0.002931439033338097,1
0.29964524666529224,0.0892018758830039,0.08205595385811414,0.03428070946501609,0.005980184520718686,1
0.19952797601122207,0.05536613257219501,0.03973264866678165,0.017088892382252103,0.0031114660693787547,1
0.04988140658106995,0.01257837694362507,0.012583074604660077,0.007623564514976445,0.0016622280491604014,1
0.054186493676378344,0.014836960951076134,0.015373245842143692,0.008530835249624254,0.0017759022240897999,1
0.35789656379307694,0.08348826570784235,0.06915722743263157,0.029185647482031722,0.004840112632603673,1
0.1516551494264973,0.03990820790907715,0.039547884122888385,0.01982638403255488,0.01219445478489553,1
0.13692830600128927,0.03998023757420467,0.037006841958888065,0.018465097107527,0.0037262179871381876,1
0.1646869027035869,0.04926434185170018,0.04314727800942994,0.01921957136412389,0.0036484059509609285,1
0.05925581192670587,0.019312489700115912,0.015698237753799495,0.008369924172427545,0.0017016899563000512,1
0.2104072764126461,0.060901919087558785,0.051882958422053455,0.023664065931541783,0.0046235876645785694,1
0.21441421978667075,0.06320379391704786,0.04417247328867436,0.019278571108540452,0.003363534664136989,1
0.14424735536862265,0.04675125669253454,0.030735242538090554,0.014355578275739534,0.0026351188041065943,1
0.3839839308566577,0.24628470584760787,0.3729388343142789,0.08972278279905602,0.032182995977501336,1
0.26044126722054217,0.24479036482342326,0.44690780565577415,0.09970910336164626,0.023969378282048023,1
0.27907402191543673,0.0963733765626307,0.15222492735845994,0.04813763891155751,0.016836717541314994,1
0.31003427811237433,0.19644985471110726,0.32034413666316064,0.07996521140655187,0.029841505543273285,1
0.27552505465743893,0.11778874598662603,0.1952110852863616,0.07090446189078664,0.052706612124754575,1
0.35257920756675504,0.22924133584773274,0.3629654916116424,0.08866740934755159,0.022718403999554184,1
0.27979024653424817,0.24754267025844434,0.44067295149697155,0.09728229259753564,0.02530291769727038,1
0.26759045877480303,0.24588969523316098,0.3952789146132061,0.09415885222004539,0.025874999651109176,1
0.3329877271439443,0.12476915654961421,0.18340565662199337,0.06914676980900858,0.048591143914761076,1
0.16011718731472602,0.11887231746093962,0.21316920400792255,0.0534596958888693,0.013509619384437836,1
0.42752375727119046,0.2369956583062249,0.3332598225507572,0.09143706465927173,0.04715054679954044,1
0.3133281387463243,0.1121407226283696,0.16689071294663457,0.05896598335570409,0.026626279243250946,1
0.26827713273769727,0.15179547116898834,0.28171738020862613,0.07107617144226407,0.02169881732690903,1
0.39561131264468596,0.27924276152830263,0.36931550445468997,0.09475069805296914,0.03533440437756716,1
0.06966585058020434,0.0427674581053744,0.07526436734654333,0.023165422594049346,0.011055106647649686,1
0.08684388431055867,0.04665204236493743,0.08021172343256755,0.026710250260961653,0.01121721235041261,1
0.25421746436406295,0.13045988924310575,0.2303539065832891,0.05322467914138003,0.014972760868958242,1
1.044316537658087,0.2052870099544288,0.22528852023067483,0.07628611456978229,0.04018269694973947,1
0.46582372354486423,0.21123020919159347,0.25113246058526717,0.07846507911975062,0.03354688441990337,1
0.4629135579796875,0.24558599788375474,0.2813193671990343,0.08970226146844565,0.06275775360669897,1
0.9953558582176746,0.19364779361871093,0.21394071318701607,0.07504021405005458,0.038193176472199525,1
0.21109952266936824,0.12417896294631374,0.1149222216055338,0.04278819299133513,0.010865374065905287,1
0.3975100063596071,0.11071154316287882,0.08957840980913251,0.039300616282280876,0.01880064347913252,1
0.2634995041228225,0.12148907850301166,0.10230211979463022,0.043425118315488564,0.016592053031688415,1
0.4775406635353592,0.091158858316656,0.06683101052427946,0.03887625219513542,0.025412695856978973,1
0.3400563475037893,0.14321749987292368,0.11542980643138655,0.054787156851627106,0.020702135365400387,1
0.1530020666908845,0.07729306448563492,0.07091674997374567,0.030101784787842874,0.008782149113117263,1
0.26980523954071417,0.12414280723252803,0.10785641822939498,0.041701200388828255,0.012621692607872,1
0.207982529259382,0.12402385560787445,0.11590408593438561,0.04281932401402694,0.010922927954399739,1
0.11106794470635134,0.05121555387478671,0.04236460822745673,0.022547232434505952,0.005847947667515298,1
0.2870703951842347,0.1617483349245198,0.15432243154447645,0.05218293289270496,0.014037752366756959,1
0.36999446680717113,0.10776085493632875,0.08451727169180889,0.03854363929141535,0.018591637808780447,1
0.1362941648013522,0.052370045454319884,0.044553399022877464,0.02298406774755378,0.011101159438392346,1
0.49377956233221637,0.09069550898712062,0.06759424056209339,0.03495584447651432,0.018767206841804406,1
0.24759739741324183,0.1432570260554825,0.12741307324671644,0.048638227272018955,0.013519995975758788,1
0.33571429135330777,0.14073146980780765,0.11360627452975963,0.04787763292807085,0.01801130817372389,1
0.30443507128148745,0.17379507277127731,0.1385001658543673,0.05040434058408461,0.01406729768947469,1
0.21047154601406534,0.12307420414546905,0.10621010730653245,0.040787155186727736,0.01036228115663618,1
0.09193180085700156,0.031028131905098812,0.022508064680345385,0.01127839173123154,0.0038190637119852313,1
0.2969180591811159,0.1788423266942145,0.15126141747875058,0.05325907454425772,0.014528606845506406,1
0.1408790842017172,0.07315468302346019,0.06944965204478143,0.02991958815821646,0.009185948476685458,1
0.1529971041616152,0.05611575441011327,0.0445577140317541,0.024489265547317788,0.013069264724598652,1
0.15707156406338144,0.051979878169214885,0.04437264145077836,0.019905275746375413,0.01151824787227023,1
0.5025522272941919,0.11132781543918566,0.07892638425135631,0.039164667002161,0.02260336401257942,1
0.3715623633117322,0.10297139962842343,0.07532959462308102,0.04893091754163981,0.05193022918816562,1
